Team,"Weighted Total
(Avg Auto Score, Avg Teleop Score,  % High Scorer, % Slide Feeder)","Weighted Total
(Avg Auto Score, Avg Teleop Score,  % Mid Scorer, % Slide Feeder)","Weighted Total
(Avg Auto Score, Avg Teleop Score,  % Low Scorer, % Slide Feeder)","Average 
Auto 
Points",Max Auto Points,% CS Engaged Auto,Average Teleop Points,Max Teleop Points,% CS Engaged Endgame,Average Endgame Points,"Average 
Game Points",Max Endgame Points,Max Game Points,% Low Score,% Mid Score,% High Score,"Defense
Average
Out of 10",% Tipped Over,Field Pickup %,Slide Feeder %,Top Feeder %,Swerve or Tank Drive
8514,15.7,15.7,72.5,0.3,3.0,0.0%,1.3,4.0,0.0%,0.3,1.9,2.0,4.0,100.0%,0.0%,0.0%,6.7,0.0%,0.0%,50.0%,50.0%,TANK
5549,25.1,25.6,88.0,0.0,,0.0%,2.8,10.0,33.3%,3.5,6.3,10.0,20.0,78.6%,14.3%,7.1%,7.3,0.0%,16.7%,50.0%,33.3%,SWERVE
7886,28.3,28.3,116.0,1.0,6.0,0.0%,1.7,6.0,66.7%,6.7,9.3,10.0,17.0,100.0%,0.0%,0.0%,7.5,0.0%,0.0%,100.0%,0.0%,TANK
2534,44.5,46.4,186.9,1.0,12.0,8.3%,3.8,8.0,8.3%,1.5,6.3,10.0,13.0,15.4%,53.8%,30.8%,0.0,8.3%,25.0%,41.7%,33.3%,SWERVE
6239,49.8,47.8,306.0,2.3,18.0,8.3%,2.8,15.0,16.7%,1.8,6.8,10.0,43.0,75.0%,0.0%,25.0%,5.0,0.0%,33.3%,66.7%,0.0%,SWERVE
4821,58.9,60.0,107.4,2.6,4.0,0.0%,3.5,8.0,25.0%,3.5,9.6,10.0,21.0,42.9%,35.7%,21.4%,0.0,0.0%,33.3%,66.7%,0.0%,TANK
2914,73.8,76.1,192.0,1.6,10.0,0.0%,6.8,11.0,58.3%,6.8,15.2,10.0,31.0,24.0%,52.0%,24.0%,0.0,0.0%,16.7%,41.7%,41.7%,SWERVE
2537,77.1,76.7,191.0,2.8,9.0,0.0%,5.4,12.0,50.0%,6.0,14.3,10.0,24.0,31.6%,31.6%,36.8%,5.0,0.0%,0.0%,50.0%,50.0%,SWERVE
1895,89.2,89.2,213.5,6.0,15.0,16.7%,3.3,7.0,75.0%,8.0,17.3,10.0,27.0,88.9%,5.6%,5.6%,0.0,0.0%,50.0%,41.7%,8.3%,TANK
2377,94.5,91.8,272.3,5.6,15.0,8.3%,4.5,14.0,58.3%,7.2,17.3,10.0,33.0,66.7%,0.0%,33.3%,0.0,0.0%,0.0%,0.0%,100.0%,SWERVE
5338,97.9,91.9,207.0,0.8,6.0,0.0%,10.2,18.0,66.7%,7.2,18.1,10.0,28.0,11.1%,7.4%,81.5%,0.0,0.0%,8.3%,50.0%,41.7%,TANK
614,98.1,99.9,170.6,4.0,7.0,0.0%,6.8,12.0,50.0%,5.0,15.8,10.0,28.0,58.1%,32.3%,9.7%,0.0,0.0%,33.3%,66.7%,0.0%,SWERVE
888,101.8,108.8,198.0,5.6,12.0,16.7%,5.8,9.0,66.7%,7.3,18.7,10.0,25.0,12.5%,87.5%,0.0%,8.0,0.0%,0.0%,0.0%,100.0%,TANK
6863,113.8,110.8,182.9,3.6,6.0,0.0%,8.7,15.0,75.0%,9.0,21.3,10.0,31.0,25.9%,18.5%,55.6%,0.0,8.3%,0.0%,83.3%,16.7%,TANK
1111,121.2,118.0,336.2,5.9,18.0,16.7%,7.0,19.0,58.3%,6.0,18.9,10.0,38.0,52.0%,4.0%,44.0%,9.0,0.0%,50.0%,50.0%,0.0%,SWERVE
5830,124.4,120.0,215.4,5.1,9.0,0.0%,8.3,15.0,50.0%,6.2,19.6,10.0,26.0,28.0%,8.0%,64.0%,6.5,0.0%,0.0%,36.4%,63.6%,TANK
6326,144.6,137.7,262.8,4.0,6.0,0.0%,11.8,25.0,41.7%,5.8,21.7,10.0,36.0,6.7%,3.3%,90.0%,0.0,0.0%,0.0%,54.5%,45.5%,TANK
836,254.4,248.1,383.3,13.2,18.0,58.3%,14.2,25.0,66.7%,7.2,34.5,10.0,48.0,15.8%,2.6%,81.6%,7.0,0.0%,0.0%,58.3%,41.7%,SWERVE
2199,284.5,278.1,382.9,15.3,18.0,83.3%,15.3,25.0,91.7%,9.3,39.9,10.0,49.0,10.0%,5.0%,85.0%,8.0,0.0%,8.3%,50.0%,41.7%,SWERVE
116,0.0,0.0,0.0,,,,,,,,,,,,,,#DIV/0!,,,,,
686,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0%,#DIV/0!,#DIV/0!,#DIV/0!,
1418,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0%,#DIV/0!,#DIV/0!,#DIV/0!,
1629,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0%,#DIV/0!,#DIV/0!,#DIV/0!,
1719,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0%,#DIV/0!,#DIV/0!,#DIV/0!,
1727,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0%,#DIV/0!,#DIV/0!,#DIV/0!,
2186,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0%,#DIV/0!,#DIV/0!,#DIV/0!,
2421,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0%,#DIV/0!,#DIV/0!,#DIV/0!,
2849,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0%,#DIV/0!,#DIV/0!,#DIV/0!,
3748,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0%,#DIV/0!,#DIV/0!,#DIV/0!,
3793,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0%,#DIV/0!,#DIV/0!,#DIV/0!,
4541,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0%,#DIV/0!,#DIV/0!,#DIV/0!,
5115,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0%,#DIV/0!,#DIV/0!,#DIV/0!,
7770,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0%,#DIV/0!,#DIV/0!,#DIV/0!,
8197,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0%,#DIV/0!,#DIV/0!,#DIV/0!,
8726,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0%,#DIV/0!,#DIV/0!,#DIV/0!,
9072,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0%,#DIV/0!,#DIV/0!,#DIV/0!,